Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
131510,130440,131540,130690,720,0.55%,2019/11/19,1398/08/28
133020,131390,133040,131410,3390,2.58%,2019/11/18,1398/08/27
131030,130890,137100,134800,3800,2.9%,2019/11/17,1398/08/26
130960,130890,131040,131000,3271,2.56%,2019/11/16,1398/08/25
127232,124687,130245,127729,779,0.61%,2019/11/13,1398/08/22
126410,126390,126540,126530,10,0.01%,2019/11/12,1398/08/21
126520,126390,126540,126520,80,0.06%,2019/11/11,1398/08/20
126500,126390,126540,126440,100,0.08%,2019/11/10,1398/08/19
126500,126390,126540,126540,546,0.43%,2019/11/09,1398/08/18
126271,125364,127988,125994,481,0.38%,2019/11/06,1398/08/15
126484,125298,127508,126475,495,0.39%,2019/11/04,1398/08/13
125450,125390,126040,126000,520,0.41%,2019/11/03,1398/08/12
125450,125390,125540,125480,57,0.05%,2019/11/02,1398/08/11
125107,123455,126702,125423,893,0.72%,2019/10/30,1398/08/08
124919,122566,125693,124572,174,0.14%,2019/10/27,1398/08/05
124561,122680,125531,124746,62,0.05%,2019/10/25,1398/08/03
124663,123216,127003,124684,256,0.21%,2019/10/23,1398/08/01
126000,125390,126040,125430,490,0.39%,2019/10/22,1398/07/30
125890,125890,126040,125920,60,0.05%,2019/10/21,1398/07/29
125940,125890,126040,125980,6,-,2019/10/20,1398/07/28
126007,123567,128388,125974,14,0.01%,2019/10/16,1398/07/24
125520,125390,126040,125930,400,0.32%,2019/10/15,1398/07/23
125450,125390,125540,125530,30,0.02%,2019/10/14,1398/07/22
126040,125390,126040,125500,420,0.33%,2019/10/13,1398/07/21
125980,125890,126040,125920,16,0.01%,2019/10/12,1398/07/20
125970,124210,126952,125936,4,-,2019/10/09,1398/07/17
125890,125890,126000,126000,-,-,2019/10/08,1398/07/16
125930,125890,126000,126000,-,-,2019/10/07,1398/07/15
125970,125890,126000,126000,-,-,2019/10/06,1398/07/14
126390,125890,126500,126000,45,0.04%,2019/10/05,1398/07/13
126495,124355,128139,126045,415,0.33%,2019/10/02,1398/07/10
126400,125890,126500,126000,430,0.34%,2019/10/01,1398/07/09
126910,126390,127000,126430,570,0.45%,2019/09/30,1398/07/08
126930,126890,127000,127000,-,-,2019/09/29,1398/07/07
126960,126890,127000,127000,475,0.38%,2019/09/28,1398/07/06
126893,125563,128415,126525,55,0.04%,2019/09/25,1398/07/03
126480,126390,126500,126500,40,0.03%,2019/09/24,1398/07/02
126400,126390,126500,126460,40,0.03%,2019/09/23,1398/07/01
126950,126390,127000,126500,500,0.4%,2019/09/22,1398/06/31
127500,126890,127500,127000,425,0.33%,2019/09/21,1398/06/30
127486,125488,128837,127425,5,-,2019/09/18,1398/06/27
126910,126890,127000,126940,60,0.05%,2019/09/17,1398/06/26
126440,126390,127500,127000,500,0.4%,2019/09/16,1398/06/25
126500,126390,126500,126500,580,0.46%,2019/09/15,1398/06/24
126410,125890,126500,125920,180,0.14%,2019/09/14,1398/06/23
126500,123800,128800,126100,900,0.71%,2019/09/11,1398/06/20
127190,126452,128741,127568,822,0.64%,2019/09/07,1398/06/16
126000,123700,129500,127900,1900,1.51%,2019/09/04,1398/06/13
126000,125390,126000,125390,500,0.4%,2019/09/03,1398/06/12
125940,125890,126000,125890,1390,1.12%,2019/09/02,1398/06/11
125500,124390,125500,124500,950,0.76%,2019/09/01,1398/06/10
125440,125390,126000,125450,930,0.75%,2019/08/31,1398/06/09
125270,123690,126710,124520,20,0.02%,2019/08/28,1398/06/06
123000,122890,124500,124500,1560,1.27%,2019/08/27,1398/06/05
126890,122890,127000,122940,4060,3.3%,2019/08/26,1398/06/04
128930,126890,129000,127000,2000,1.57%,2019/08/25,1398/06/03
130400,128890,130500,129000,500,0.39%,2019/08/24,1398/06/02
131200,128000,131900,129500,1500,1.16%,2019/08/21,1398/05/30
131726,130738,134384,131931,29,0.02%,2019/08/18,1398/05/27
132000,131890,132000,131900,-,-,2019/08/17,1398/05/26
131900,131200,133700,131900,100,0.08%,2019/08/14,1398/05/23
131980,131890,132000,131930,10,0.01%,2019/08/13,1398/05/22
131940,131890,132000,131920,80,0.06%,2019/08/11,1398/05/20
132980,131890,133000,132000,420,0.32%,2019/08/10,1398/05/19
132990,131090,135570,132420,1080,0.82%,2019/08/07,1398/05/16
134500,133890,134500,133940,510,0.38%,2019/08/06,1398/05/15
133930,133890,134500,134450,550,0.41%,2019/08/05,1398/05/14
133970,133890,134000,133900,100,0.07%,2019/08/04,1398/05/13
134440,133890,134500,134000,600,0.45%,2019/08/03,1398/05/12
134800,132300,137500,134600,400,0.3%,2019/07/31,1398/05/09
136900,135890,137000,136000,1000,0.74%,2019/07/30,1398/05/08
136930,136890,137000,137000,-,-,2019/07/29,1398/05/07
138470,136890,138500,137000,1500,1.09%,2019/07/28,1398/05/06
139000,138390,140000,138500,981,0.71%,2019/07/27,1398/05/05
138210,135593,140587,137519,59,0.04%,2019/07/24,1398/05/02
140950,139390,141500,139480,1440,1.03%,2019/07/23,1398/05/01
137910,137890,141000,140920,2920,2.12%,2019/07/22,1398/04/31
137920,137890,138000,138000,40,0.03%,2019/07/21,1398/04/30
135400,135390,138000,137960,3960,2.96%,2019/07/20,1398/04/29
135000,132600,137700,134000,-,-,2019/07/17,1398/04/26
138450,130890,138500,133000,5500,4.14%,2019/07/16,1398/04/25
140390,138390,140500,138500,2000,1.44%,2019/07/15,1398/04/24
143980,140390,144000,140500,3500,2.49%,2019/07/14,1398/04/23
144910,143890,145000,144000,177,0.12%,2019/07/13,1398/04/22
145456,141567,146706,144177,2263,1.57%,2019/07/10,1398/04/19
146390,146390,146500,146500,-,-,2019/07/09,1398/04/18
147000,146390,147000,146500,430,0.29%,2019/07/08,1398/04/17
147900,146890,148000,146930,980,0.67%,2019/07/07,1398/04/16
148500,147890,149500,147910,51,0.03%,2019/07/06,1398/04/15
147566,145308,149204,147859,899,0.61%,2019/07/03,1398/04/12
146880,146840,147000,147000,-,-,2019/07/02,1398/04/11
145870,145840,147000,147000,1000,0.68%,2019/07/01,1398/04/10
147500,145840,147500,146000,350,0.24%,2019/06/30,1398/04/09
147880,143710,149400,146350,2150,1.47%,2019/06/26,1398/04/05
148500,148340,148500,148410,1590,1.07%,2019/06/25,1398/04/04
150880,149350,151000,150000,780,0.52%,2019/06/24,1398/04/03
149280,147840,152010,149220,320,0.21%,2019/06/23,1398/04/02
148910,148840,149000,148900,1100,0.74%,2019/06/22,1398/04/01
150400,147000,151700,150000,1000,0.67%,2019/06/19,1398/03/29
151000,149840,151000,150000,950,0.63%,2019/06/18,1398/03/28
152500,150840,152500,150950,1480,0.98%,2019/06/17,1398/03/27
153920,152340,154000,152430,1570,1.03%,2019/06/16,1398/03/26
148410,148340,154000,154000,4600,3.08%,2019/06/15,1398/03/25
148100,145000,151000,149400,3900,2.61%,2019/06/12,1398/03/22
148200,145600,156200,153300,5300,3.58%,2019/06/11,1398/03/21
150000,147840,150000,147880,380,0.26%,2019/06/10,1398/03/20
145970,145970,147500,147500,1580,1.08%,2019/06/09,1398/03/19
149940,145840,150000,145920,3678,2.52%,2019/06/08,1398/03/18
150290,147443,152333,149598,252,0.17%,2019/06/02,1398/03/12
154370,151340,154500,151500,2630,1.74%,2019/06/01,1398/03/11
153830,151180,157350,154130,370,0.24%,2019/05/29,1398/03/08
156400,151340,156500,152890,3657,2.39%,2019/05/28,1398/03/07
157215,154746,159683,156547,863,0.55%,2019/05/25,1398/03/04
158501,156747,159705,158043,1337,0.85%,2019/05/22,1398/03/01
156370,156340,158500,158470,1970,1.26%,2019/05/21,1398/02/31
156500,156340,156500,156500,160,0.1%,2019/05/20,1398/02/30
164500,156340,164500,156340,8050,5.15%,2019/05/19,1398/02/29
164870,164340,166000,164390,10,0.01%,2019/05/18,1398/02/28
168300,163000,170900,164400,1600,0.97%,2019/05/15,1398/02/25
168470,168340,169000,168470,90,0.05%,2019/05/14,1398/02/24
168430,168340,168500,168380,120,0.07%,2019/05/13,1398/02/23
167350,167340,168500,168500,1000,0.6%,2019/05/12,1398/02/22
169440,167340,169500,167500,1526,0.91%,2019/05/11,1398/02/21
169170,166422,171792,169026,2824,1.67%,2019/05/08,1398/02/18
168460,168460,168900,168760,260,0.15%,2019/05/07,1398/02/17
167000,166840,168500,168500,1550,0.93%,2019/05/06,1398/02/16
166340,166340,167000,166950,450,0.27%,2019/05/05,1398/02/15
163340,163340,168000,166500,5013,3.1%,2019/05/04,1398/02/14
162114,158257,163929,161487,567,0.35%,2019/05/01,1398/02/11
158990,158850,161100,161090,2040,1.28%,2019/04/30,1398/02/10
159570,158850,159600,159050,330,0.21%,2019/04/29,1398/02/09
159590,159350,160000,159380,30,0.02%,2019/04/28,1398/02/08
158080,157850,159600,159350,1427,0.9%,2019/04/27,1398/02/07
157568,154779,160481,157923,363,0.23%,2019/04/24,1398/02/04
156890,156850,157100,157090,60,0.04%,2019/04/23,1398/02/03
156960,156850,158100,157030,335,0.21%,2019/04/22,1398/02/02
155328,152081,157666,156695,447,0.29%,2019/04/19,1398/01/30
155885,153952,159513,156248,1708,1.11%,2019/04/17,1398/01/28
155490,153850,155650,153920,1690,1.1%,2019/04/16,1398/01/27
156990,154000,157050,155610,1410,0.91%,2019/04/15,1398/01/26
152420,152350,157050,157020,4480,2.94%,2019/04/14,1398/01/25
153910,152350,154150,152540,1392,0.91%,2019/04/13,1398/01/24
155036,151561,156849,153932,1538,1%,2019/04/10,1398/01/21
156690,155350,156950,155410,1510,0.97%,2019/04/09,1398/01/20
153910,153750,156950,156920,3100,2.02%,2019/04/08,1398/01/19
152850,152850,154050,153820,830,0.54%,2019/04/07,1398/01/18
152010,151850,155150,152990,909,0.6%,2019/04/06,1398/01/17
151959,149618,153175,152081,149,0.1%,2019/04/03,1398/01/14
151941,150959,153414,151932,22,0.01%,2019/03/30,1398/01/10
151215,148674,152785,151935,15,0.01%,2019/03/27,1398/01/07
149590,149400,149600,149590,30,0.02%,2019/03/26,1398/01/06
149580,149410,149590,149560,509,0.34%,2019/03/25,1398/01/05
148712,147566,150854,149051,1041,0.7%,2019/03/18,1397/12/27
147920,147900,148050,147940,-,-,2019/03/17,1397/12/26
149010,147900,149050,147940,579,0.39%,2019/03/16,1397/12/25
150113,146885,151043,148519,1031,0.69%,2019/03/13,1397/12/22
147950,147930,148050,148040,110,0.07%,2019/03/12,1397/12/21
148950,147930,149050,147930,1060,0.72%,2019/03/11,1397/12/20
149510,148930,149550,148990,1460,0.98%,2019/03/10,1397/12/19
151400,150380,151530,150450,42,0.03%,2019/03/09,1397/12/18
151164,149273,152917,150492,28,0.02%,2019/03/06,1397/12/15
147530,147380,152030,151020,3510,2.38%,2019/03/05,1397/12/14
147480,147380,147530,147510,10,0.01%,2019/03/04,1397/12/13
151030,147380,151030,147520,3500,2.37%,2019/03/03,1397/12/12
155030,150800,155050,151020,80,0.05%,2019/03/02,1397/12/11
153200,148100,154100,151100,1900,1.26%,2019/02/27,1397/12/08
154000,153500,154000,153500,2000,1.3%,2019/02/26,1397/12/07
155500,155500,155500,155500,500,0.32%,2019/02/25,1397/12/06
157000,156000,157000,156000,-,-,2019/02/24,1397/12/05
156000,156000,156000,156000,4290,2.83%,2019/02/23,1397/12/04
152130,149490,152890,151710,210,0.14%,2019/02/20,1397/12/01
149500,149300,149500,149300,2300,1.56%,2019/02/19,1397/11/30
147000,147000,147000,147000,1000,0.68%,2019/02/18,1397/11/29
145000,145000,148000,148000,7400,5.26%,2019/02/17,1397/11/28
139500,139500,140600,140600,1000,0.72%,2019/02/16,1397/11/27
139000,137200,142400,139600,600,0.43%,2019/02/13,1397/11/24
139500,139500,139500,139500,1620,1.17%,2019/02/12,1397/11/23
137890,136010,140130,137880,470,0.34%,2019/02/09,1397/11/20
136830,135220,139520,137410,910,0.67%,2019/02/06,1397/11/17
138500,138500,138500,138500,1000,0.73%,2019/02/05,1397/11/16
138500,137500,138500,137500,500,0.36%,2019/02/04,1397/11/15
135000,135000,137000,137000,4500,3.4%,2019/02/03,1397/11/14
132500,132500,132500,132500,2280,1.72%,2019/02/02,1397/11/13
134920,133640,137590,134780,4720,3.5%,2019/01/30,1397/11/10
141500,141500,141500,141500,2000,1.43%,2019/01/29,1397/11/09
138000,137950,139500,139500,2500,1.82%,2019/01/28,1397/11/08
137500,136900,137500,137000,-,-,2019/01/27,1397/11/07
137000,136900,137000,137000,1070,0.79%,2019/01/26,1397/11/06
135280,134590,136810,135930,3030,2.28%,2019/01/23,1397/11/03
132500,132500,132500,132500,500,0.38%,2019/01/22,1397/11/02
132800,132800,133000,133000,110,0.08%,2019/01/21,1397/11/01
132610,130050,134720,132890,390,0.29%,2019/01/20,1397/10/30
132400,132300,132500,132500,1300,0.98%,2019/01/19,1397/10/29
133100,130900,134900,133800,200,0.15%,2019/01/16,1397/10/26
133000,133000,133000,133000,3000,2.31%,2019/01/15,1397/10/25
129000,129000,130000,130000,1500,1.17%,2019/01/14,1397/10/24
129500,128500,129500,128500,2500,1.95%,2019/01/13,1397/10/23
131000,131000,133000,131000,3060,2.39%,2019/01/12,1397/10/22
127420,125190,130330,127940,540,0.42%,2019/01/09,1397/10/19
127200,127200,127200,127200,300,0.24%,2019/01/08,1397/10/18
127500,127500,127500,127500,1500,1.19%,2019/01/07,1397/10/17
126000,126000,126000,126000,1000,0.8%,2019/01/06,1397/10/16
125500,125000,125550,125000,170,0.14%,2019/01/05,1397/10/15
125500,123090,127970,125170,330,0.26%,2019/01/02,1397/10/12
124000,124000,124000,124000,500,0.4%,2019/01/01,1397/10/11
127500,124500,127500,124500,2500,2.01%,2018/12/31,1397/10/10
127000,127000,127000,127000,1000,0.79%,2018/12/30,1397/10/09
124000,124000,127000,126000,2500,1.98%,2018/12/29,1397/10/08
128500,127100,129500,128500,500,0.39%,2018/12/26,1397/10/05
128000,128000,134000,133000,11000,9.02%,2018/12/25,1397/10/04
121000,122000,122000,122000,4500,3.83%,2018/12/24,1397/10/03
117500,117500,117500,117500,500,0.43%,2018/12/23,1397/10/02
117000,117000,117000,117000,3014,2.64%,2018/12/22,1397/10/01
115653,111592,117838,113986,166,0.15%,2018/12/19,1397/09/28
113250,113240,115200,114170,1190,1.05%,2018/12/18,1397/09/27
112720,112720,113330,112980,230,0.2%,2018/12/17,1397/09/26
112580,112580,113200,112750,250,0.22%,2018/12/16,1397/09/25
112950,109730,113010,112500,401,0.36%,2018/12/15,1397/09/24
110752,110198,114278,112901,2129,1.89%,2018/12/12,1397/09/21
123020,106390,123080,110370,12580,11.4%,2018/12/11,1397/09/20
122580,122360,123010,122950,340,0.28%,2018/12/10,1397/09/19
128620,122420,128620,122610,5310,4.33%,2018/12/09,1397/09/18
130720,127580,130720,127920,76,0.06%,2018/12/08,1397/09/17
129207,127151,131429,127996,494,0.39%,2018/12/05,1397/09/14
129010,127950,129170,128780,300,0.23%,2018/12/04,1397/09/13
129780,127210,130610,129080,830,0.64%,2018/12/03,1397/09/12
136800,129180,136810,129910,7130,5.49%,2018/12/02,1397/09/11
135800,134740,137040,137040,10486,7.65%,2018/12/01,1397/09/10
145964,145000,149178,147526,9084,6.16%,2018/11/28,1397/09/07
151795,148759,157549,156610,14213,9.98%,2018/11/27,1397/09/06
139532,138052,144134,142397,1840,1.29%,2018/11/26,1397/09/05
144942,141568,146536,144237,10235,7.1%,2018/11/25,1397/09/04
151447,148842,157206,154472,5789,3.89%,2018/11/23,1397/09/02
140506,138567,150229,148683,10329,7.47%,2018/11/21,1397/08/30
141881,136389,144832,138354,9355,6.76%,2018/11/20,1397/08/29
155217,145242,156520,147709,1672,1.13%,2018/11/19,1397/08/28
141672,140368,151248,149381,1172,0.78%,2018/11/18,1397/08/27
154810,149438,157983,150553,9362,6.63%,2018/11/17,1397/08/26
142049,140004,143512,141191,8636,6.12%,2018/11/16,1397/08/25
155132,148223,157567,149827,7923,5.29%,2018/11/14,1397/08/23
169656,160474,172879,161736,5795,3.58%,2018/11/12,1397/08/21
160027,157322,169022,167531,6360,3.95%,2018/11/11,1397/08/20
166395,158189,169090,161171,3335,2.07%,2018/11/10,1397/08/19
162793,161311,167384,164506,637,0.39%,2018/11/09,1397/08/18
161964,159890,167277,163869,4626,2.82%,2018/11/05,1397/08/14
164341,161629,171578,168495,3247,1.96%,2018/11/04,1397/08/13
164565,162475,166900,165248,5553,3.48%,2018/11/03,1397/08/12
159460,156733,160908,159695,22,0.01%,2018/11/02,1397/08/11
164783,157576,167864,159717,7981,5%,2018/10/31,1397/08/09
166195,163153,169928,167698,6205,3.84%,2018/10/30,1397/08/08
167633,158424,170365,161493,4286,2.65%,2018/10/28,1397/08/06
165843,164286,168032,165779,642,0.39%,2018/10/27,1397/08/05
161658,158457,168501,166421,41,0.02%,2018/10/26,1397/08/04
167356,165080,169682,166462,1216,0.74%,2018/10/24,1397/08/02
160766,158965,166799,165246,4719,2.94%,2018/10/23,1397/08/01
163208,158905,165264,160527,9222,5.74%,2018/10/22,1397/07/30
165316,163084,172040,169749,9653,6.03%,2018/10/21,1397/07/29
162057,156782,164179,160096,9887,6.18%,2018/10/20,1397/07/28
169214,167538,172991,169983,5505,3.35%,2018/10/19,1397/07/27
169983,161221,171478,164478,5767,3.51%,2018/10/17,1397/07/25
169158,166096,172866,170245,7279,4.47%,2018/10/16,1397/07/24
166299,160831,168710,162966,7636,4.69%,2018/10/15,1397/07/23
157912,155369,173399,170602,2338,1.39%,2018/10/14,1397/07/22
163591,161971,170249,168264,5368,3.3%,2018/10/13,1397/07/21
162173,159918,164248,162896,2761,1.72%,2018/10/12,1397/07/20
159164,157110,161015,160135,10530,6.58%,2018/10/10,1397/07/18
169824,166308,172951,170665,155,0.09%,2018/10/09,1397/07/17
157200,157160,177300,170180,13570,8.66%,2018/10/08,1397/07/16
149920,149020,156930,156610,7220,4.83%,2018/10/07,1397/07/15
164500,144360,164500,149390,2609,1.75%,2018/10/06,1397/07/14
152116,150007,152922,151999,1797,1.2%,2018/10/03,1397/07/11
158255,147062,160217,150202,3228,2.15%,2018/10/02,1397/07/10
164472,159332,167712,161480,14740,9.13%,2018/10/01,1397/07/09
197660,167330,200410,176220,21580,12.25%,2018/09/30,1397/07/08
200450,195530,202530,197800,166,0.08%,2018/09/29,1397/07/07
204427,195075,206369,197966,5844,2.95%,2018/09/26,1397/07/04
200010,190410,227290,219270,19720,9.88%,2018/09/25,1397/07/03
187620,182750,200880,199550,11860,6.32%,2018/09/24,1397/07/02
175790,175150,189740,187690,12410,7.08%,2018/09/23,1397/07/01
168700,165270,180240,175280,2609,1.51%,2018/09/22,1397/06/31
168807,166207,173551,172671,2411,1.42%,2018/09/17,1397/06/26
165680,163380,167690,167530,1470,0.89%,2018/09/16,1397/06/25
161650,161650,171740,166060,2323,1.42%,2018/09/15,1397/06/24
159905,157826,166324,163737,3087,1.92%,2018/09/12,1397/06/21
157120,155440,160180,159050,1990,1.27%,2018/09/11,1397/06/20
160820,156720,169800,157060,3900,2.48%,2018/09/10,1397/06/19
150060,150000,161160,160960,10830,7.21%,2018/09/09,1397/06/18
148710,139760,150210,150130,7170,4.78%,2018/09/08,1397/06/17
157300,157300,157300,157300,40,0.03%,2018/09/06,1397/06/15
158580,156700,168010,157340,2250,1.43%,2018/09/05,1397/06/14
158930,158660,174140,159590,1210,0.76%,2018/09/04,1397/06/13
148900,148300,161180,158380,9260,6.21%,2018/09/03,1397/06/12
139100,138740,157890,149120,10160,7.31%,2018/09/02,1397/06/11
130020,120810,141530,138960,10180,7.9%,2018/09/01,1397/06/10
128290,127790,129570,128780,620,0.48%,2018/08/29,1397/06/07
128940,123690,128980,128160,760,0.59%,2018/08/28,1397/06/06
125040,122460,129070,128920,3680,2.94%,2018/08/27,1397/06/05
122460,122350,125780,125240,2700,2.2%,2018/08/26,1397/06/04
122060,121480,123710,122540,114,0.09%,2018/08/25,1397/06/03
122309,120535,123993,122426,166,0.14%,2018/08/22,1397/05/31
122310,122210,122950,122260,90,0.07%,2018/08/21,1397/05/30
119660,119290,123070,122170,2920,2.45%,2018/08/20,1397/05/29
117760,117730,120790,119250,1220,1.03%,2018/08/19,1397/05/28
117790,116790,120420,118030,1428,1.21%,2018/08/18,1397/05/27
118145,115959,120222,119458,2052,1.72%,2018/08/15,1397/05/24
120210,116670,122220,118960,510,0.43%,2018/08/14,1397/05/23
121130,119290,125790,119470,1530,1.28%,2018/08/13,1397/05/22
115150,113370,121580,121000,5910,5.14%,2018/08/12,1397/05/21
119000,111230,120860,115090,135,0.12%,2018/08/11,1397/05/20
118999,114061,120165,115225,4155,3.61%,2018/08/08,1397/05/17
104080,103650,124510,118460,14900,14.39%,2018/08/07,1397/05/16
110690,102200,113530,103560,7250,7%,2018/08/06,1397/05/15
113380,106920,114830,110810,2750,2.48%,2018/08/05,1397/05/14
117390,109910,117600,113560,8890,7.83%,2018/08/04,1397/05/13
122299,120195,123698,122450,8160,6.66%,2018/08/01,1397/05/10
121520,118400,130810,123320,40,0.03%,2018/07/31,1397/05/09
134270,112610,134450,123360,10840,8.79%,2018/07/30,1397/05/08
136140,125630,137390,134200,21531,19.11%,2018/07/29,1397/05/07
116394,111801,118011,112669,2439,2.21%,2018/07/28,1397/05/06
108001,106575,110858,110230,1020,0.93%,2018/07/25,1397/05/03
109830,106950,110580,107220,2950,2.75%,2018/07/24,1397/05/02
109880,106550,111980,110170,610,0.56%,2018/07/23,1397/05/01
104120,104100,111630,109560,5600,5.39%,2018/07/22,1397/04/31
101000,100690,105930,103960,1656,1.62%,2018/07/21,1397/04/30
95437,94320,103296,102304,6474,6.76%,2018/07/18,1397/04/27
95560,93560,97220,94390,210,0.22%,2018/07/17,1397/04/26
92740,91100,96030,94600,1940,2.09%,2018/07/16,1397/04/25
94180,92240,95130,92660,1700,1.83%,2018/07/15,1397/04/24
93000,93000,97100,94360,224,0.24%,2018/07/14,1397/04/23
91678,90660,95406,94136,2766,3.03%,2018/07/11,1397/04/20
91650,88990,91730,90750,2550,2.81%,2018/07/10,1397/04/19
93500,92430,93540,93300,570,0.61%,2018/07/08,1397/04/17
92560,92300,94960,93870,416,0.45%,2018/07/07,1397/04/16
93262,92254,94640,93454,2014,2.2%,2018/07/04,1397/04/13
94820,91770,95900,93350,1950,2.09%,2018/07/03,1397/04/12
97230,94840,97230,95300,1050,1.1%,2018/07/02,1397/04/11
97520,95390,99530,96350,890,0.92%,2018/07/01,1397/04/10
93150,93150,97730,97240,590,0.61%,2018/06/30,1397/04/09
95520,95330,96850,96650,1570,1.65%,2018/06/28,1397/04/07
92220,92060,97800,95080,2890,3.13%,2018/06/27,1397/04/06
92140,90450,93620,92190,260,0.28%,2018/06/26,1397/04/05
95780,91410,97840,91930,2800,3.05%,2018/06/25,1397/04/04
101670,92710,104170,94730,7040,7.43%,2018/06/24,1397/04/03
95240,92770,105980,101770,14380,16.45%,2018/06/23,1397/04/02
87070,86800,87830,87390,520,0.6%,2018/06/21,1397/03/31
85790,84930,87280,86870,1760,2.07%,2018/06/20,1397/03/30
83720,83710,85540,85110,1940,2.33%,2018/06/19,1397/03/29
81750,81520,83970,83170,1120,1.37%,2018/06/18,1397/03/28
81500,80260,84220,82050,2570,3.23%,2018/06/17,1397/03/27
78180,77970,79570,79480,1520,1.95%,2018/06/14,1397/03/24
82430,77810,82590,77960,4570,5.86%,2018/06/13,1397/03/23
82660,82050,84420,82530,350,0.43%,2018/06/12,1397/03/22
80110,80020,83600,82180,2000,2.49%,2018/06/11,1397/03/21
77600,77270,81080,80180,3650,4.77%,2018/06/10,1397/03/20
76460,75910,78610,76530,450,0.59%,2018/06/09,1397/03/19
76880,75660,76920,76080,820,1.09%,2018/06/07,1397/03/17
75370,75150,75530,75260,210,0.28%,2018/06/03,1397/03/13
75150,74150,75710,75050,590,0.79%,2018/06/02,1397/03/12
75530,75450,75960,75640,440,0.59%,2018/05/31,1397/03/10
74990,74780,75810,75200,340,0.45%,2018/05/30,1397/03/09
72790,72660,76110,74860,2590,3.58%,2018/05/29,1397/03/08
73870,71580,74540,72270,1510,2.09%,2018/05/28,1397/03/07
74770,73000,75260,73780,260,0.35%,2018/05/27,1397/03/06
74610,73880,75040,74040,420,0.57%,2018/05/26,1397/03/05
74460,74220,74500,74460,260,0.35%,2018/05/24,1397/03/03
74320,73220,75310,74200,210,0.28%,2018/05/23,1397/03/02
75160,74160,75160,74410,910,1.22%,2018/05/22,1397/03/01
74700,74600,76050,75320,1030,1.39%,2018/05/21,1397/02/31
73180,73100,75280,74290,1130,1.54%,2018/05/20,1397/02/30
71930,71370,73260,73160,680,0.93%,2018/05/19,1397/02/29
74150,73710,74210,73840,260,0.35%,2018/05/17,1397/02/27
72700,72640,75130,74100,1380,1.9%,2018/05/16,1397/02/26
75780,71820,77350,72720,3010,4.14%,2018/05/15,1397/02/25
75200,74100,75940,75730,250,0.33%,2018/05/14,1397/02/24
77130,73230,77130,75480,1580,2.09%,2018/05/13,1397/02/23
78450,76660,78750,77060,2750,3.57%,2018/05/12,1397/02/22
79430,79390,79810,79810,510,0.64%,2018/05/10,1397/02/20
77860,76730,80210,79300,1480,1.9%,2018/05/09,1397/02/19
76000,75660,81720,77820,1570,2.06%,2018/05/08,1397/02/18
70660,70620,77170,76250,4780,6.69%,2018/05/07,1397/02/17
75010,70430,75080,71470,3580,5.01%,2018/05/06,1397/02/16
78090,73470,78460,75050,446,0.6%,2018/05/05,1397/02/15
75268,73290,76321,74604,3224,4.52%,2018/05/02,1397/02/12
71360,71280,71560,71380,280,0.39%,2018/05/01,1397/02/11
68850,68470,72600,71660,3020,4.4%,2018/04/30,1397/02/10
69110,68640,70220,68640,370,0.54%,2018/04/29,1397/02/09
68600,68350,69480,69010,263,0.38%,2018/04/28,1397/02/08
68563,67452,69262,68747,537,0.79%,2018/04/25,1397/02/05
67960,67600,68700,68660,680,1%,2018/04/24,1397/02/04
68400,67600,68400,67980,320,0.47%,2018/04/23,1397/02/03
67950,67950,68300,68300,300,0.44%,2018/04/22,1397/02/02
68000,68000,68000,68000,160,0.24%,2018/04/21,1397/02/01
67887,66985,69027,67840,90,0.13%,2018/04/18,1397/01/29
68000,68000,68200,68000,2517,3.84%,2018/04/17,1397/01/28
61186,60684,66439,65483,1986,3.13%,2018/04/15,1397/01/26
64142,62550,64680,63497,1103,1.74%,2018/04/14,1397/01/25
65396,64018,66599,64600,2950,4.79%,2018/04/11,1397/01/22
61750,61750,61750,61750,4000,6.48%,2018/04/10,1397/01/21
65173,63804,66091,65750,4700,7.15%,2018/04/08,1397/01/19
64500,64500,67000,65500,5420,9.02%,2018/04/07,1397/01/18
60080,60080,60080,60080,2170,3.61%,2018/04/05,1397/01/16
62150,62150,62250,62250,50,0.08%,2018/04/04,1397/01/15
61950,61450,62200,62200,300,0.48%,2018/04/03,1397/01/14
61920,61510,62890,61900,200,0.32%,2018/03/28,1397/01/08
62150,61950,62150,61950,250,0.4%,2018/03/27,1397/01/07
62750,61950,63450,62200,490,0.79%,2018/03/26,1397/01/06
61060,61060,61710,61710,539,0.88%,2018/03/25,1397/01/05
60086,59268,61892,61171,2811,4.82%,2018/03/18,1396/12/27
58790,58530,58790,58530,520,0.89%,2018/03/17,1396/12/26
59050,59050,59050,59050,50,0.08%,2018/03/15,1396/12/24
58690,58040,59160,59100,360,0.61%,2018/03/14,1396/12/23
58690,58690,58740,58740,1310,2.28%,2018/03/13,1396/12/22
57730,57430,57730,57430,10,0.02%,2018/03/12,1396/12/21
56160,56160,58110,57440,1330,2.37%,2018/03/11,1396/12/20
56190,56110,56190,56110,130,0.23%,2018/03/10,1396/12/19
56240,56240,56240,56240,50,0.09%,2018/03/08,1396/12/17
59360,56190,59360,56190,2920,5.2%,2018/03/07,1396/12/16
