Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
1304400,1301600,1307500,1302600,2400,0.18%,2025/11/18,1404/08/27
1304800,1301800,1308400,1305000,800,0.06%,2025/11/17,1404/08/26
1313200,1301000,1316000,1304200,7200,0.55%,2025/11/16,1404/08/25
1303200,1302700,1322900,1311400,3700,0.28%,2025/11/15,1404/08/24
1304700,1304400,1320300,1307700,2700,0.21%,2025/11/13,1404/08/22
1272400,1271600,1307400,1305000,32000,2.51%,2025/11/12,1404/08/21
1244300,1243800,1274800,1273000,29300,2.36%,2025/11/11,1404/08/20
1246400,1242700,1249000,1243700,3500,0.28%,2025/11/10,1404/08/19
1246100,1246000,1248800,1247200,400,0.03%,2025/11/09,1404/08/18
1247900,1243700,1249400,1246800,2900,0.23%,2025/11/08,1404/08/17
1241600,1238500,1244400,1243900,5800,0.47%,2025/11/06,1404/08/15
1242700,1237000,1244600,1238100,5300,0.43%,2025/11/05,1404/08/14
1244400,1242800,1251000,1243400,1400,0.11%,2025/11/04,1404/08/13
1247800,1239000,1255900,1244800,4800,0.39%,2025/11/03,1404/08/12
1254300,1248700,1256000,1249600,6400,0.51%,2025/11/02,1404/08/11
1239100,1238800,1256600,1256000,14800,1.19%,2025/11/01,1404/08/10
1244400,1239600,1250600,1241200,5900,0.48%,2025/10/30,1404/08/08
1243900,1242300,1250500,1247100,100,0.01%,2025/10/29,1404/08/07
1257000,1246600,1357700,1247000,9800,0.79%,2025/10/28,1404/08/06
1254200,1253800,1262300,1256800,3000,0.24%,2025/10/27,1404/08/05
1242900,1242700,1264100,1253800,9700,0.78%,2025/10/26,1404/08/04
1245000,1240400,1252500,1244100,14900,1.2%,2025/10/25,1404/08/03
1250700,1250400,1269300,1259000,9800,0.78%,2025/10/23,1404/08/01
1250800,1243400,1252100,1249200,15800,1.26%,2025/10/22,1404/07/30
1237100,1232400,1267600,1265000,25100,2.02%,2025/10/21,1404/07/29
1267500,1239600,1282300,1239900,22400,1.81%,2025/10/20,1404/07/28
1250400,1250000,1271500,1262300,21200,1.71%,2025/10/19,1404/07/27
1282400,1236000,1282500,1241100,43600,3.51%,2025/10/18,1404/07/26
1279000,1278500,1298700,1284700,9400,0.74%,2025/10/16,1404/07/24
1263800,1263400,1281800,1275300,11600,0.92%,2025/10/15,1404/07/23
1279300,1258200,1280100,1263700,23700,1.88%,2025/10/14,1404/07/22
1299700,1284600,1308300,1287400,17000,1.32%,2025/10/13,1404/07/21
1306900,1294100,1312000,1304400,6100,0.47%,2025/10/12,1404/07/20
1307400,1307400,1336400,1310500,5500,0.42%,2025/10/11,1404/07/19
1343000,1311400,1343000,1316000,26500,2.01%,2025/10/09,1404/07/17
1323000,1322200,1353400,1342500,11600,0.87%,2025/10/08,1404/07/16
1298100,1293000,1333500,1330900,29400,2.26%,2025/10/07,1404/07/15
1327400,1301400,1327800,1301500,36200,2.78%,2025/10/06,1404/07/14
1353000,1337400,1355400,1337700,18200,1.36%,2025/10/05,1404/07/13
1375300,1349000,1375300,1355900,28200,2.08%,2025/10/04,1404/07/12
1362000,1361200,1387900,1384100,29700,2.19%,2025/10/02,1404/07/10
1339500,1338200,1371500,1354400,14200,1.06%,2025/10/01,1404/07/09
1316900,1315900,1341400,1340200,25300,1.92%,2025/09/30,1404/07/08
1306300,1289400,1318000,1314900,19400,1.5%,2025/09/29,1404/07/07
1320800,1286900,1322400,1295500,23400,1.81%,2025/09/28,1404/07/06
1269800,1269800,1318900,1318900,50300,3.97%,2025/09/27,1404/07/05
1261600,1259800,1276700,1268600,9000,0.71%,2025/09/25,1404/07/03
1234800,1234500,1267700,1259600,37900,3.1%,2025/09/24,1404/07/02
1227600,1210400,1229600,1221700,4700,0.38%,2025/09/23,1404/07/01
1248200,1221000,1249700,1226400,17100,1.39%,2025/09/22,1404/06/31
1206200,1206200,1243700,1243500,38100,3.16%,2025/09/21,1404/06/30
1181900,1181500,1213700,1205400,40500,3.48%,2025/09/20,1404/06/29
1173800,1164200,1174500,1164900,11900,1.02%,2025/09/18,1404/06/27
1179400,1175500,1186000,1176800,5400,0.46%,2025/09/17,1404/06/26
1170400,1169800,1182600,1182200,14900,1.28%,2025/09/16,1404/06/25
1151300,1151100,1173600,1167300,16800,1.46%,2025/09/15,1404/06/24
1147700,1147600,1159900,1150500,3700,0.32%,2025/09/14,1404/06/23
1164200,1145300,1164500,1146800,17200,1.5%,2025/09/13,1404/06/22
1157800,1157700,1166400,1164000,18300,1.57%,2025/09/11,1404/06/20
1183800,1173500,1185500,1182300,5700,0.48%,2025/09/09,1404/06/18
1202800,1187300,1205300,1188000,15900,1.34%,2025/09/08,1404/06/17
1203400,1199900,1209700,1203900,3100,0.26%,2025/09/07,1404/06/16
1186000,1185800,1212100,1207000,21900,1.85%,2025/09/06,1404/06/15
1195600,1182900,1196700,1185100,14500,1.22%,2025/09/04,1404/06/13
1205400,1194400,1208100,1199600,8500,0.71%,2025/09/03,1404/06/12
1238700,1207200,1241800,1208100,22900,1.9%,2025/09/02,1404/06/11
1203900,1202900,1232000,1231000,25900,2.15%,2025/08/31,1404/06/09
1179900,1179600,1218000,1205100,35300,3.02%,2025/08/30,1404/06/08
1166200,1165900,1181600,1169800,3000,0.26%,2025/08/28,1404/06/06
1134100,1132800,1167400,1166800,39900,3.54%,2025/08/27,1404/06/05
1114200,1113700,1127900,1126900,9300,0.83%,2025/08/26,1404/06/04
1110400,1110400,1122100,1117600,14300,1.3%,2025/08/25,1404/06/03
1112200,1094700,1116300,1103300,3600,0.33%,2025/08/23,1404/06/01
1094500,1094200,1108100,1106900,13600,1.24%,2025/08/21,1404/05/30
1088100,1088100,1095100,1093300,4900,0.45%,2025/08/20,1404/05/29
1095500,1087700,1096200,1088400,6400,0.59%,2025/08/19,1404/05/28
1093500,1091700,1098000,1094800,2300,0.21%,2025/08/18,1404/05/27
1085600,1085600,1094800,1092500,6500,0.6%,2025/08/17,1404/05/26
1092500,1085600,1093700,1086000,11800,1.09%,2025/08/16,1404/05/25
1083200,1082800,1097800,1097800,18100,1.68%,2025/08/13,1404/05/22
1081100,1075100,1082100,1079700,3800,0.35%,2025/08/12,1404/05/21
1073600,1073000,1088400,1083500,12500,1.17%,2025/08/11,1404/05/20
1065900,1065900,1073000,1071000,1400,0.13%,2025/08/10,1404/05/19
1086900,1067900,1087000,1069600,19100,1.79%,2025/08/09,1404/05/18
1085000,1084600,1092800,1088700,6700,0.62%,2025/08/06,1404/05/15
1080500,1075700,1082500,1082000,700,0.06%,2025/08/05,1404/05/14
1084000,1075900,1097000,1081300,3300,0.31%,2025/08/04,1404/05/13
1069100,1067800,1085300,1084600,13400,1.25%,2025/08/03,1404/05/12
